Поліклінічне об'єднання м.Кіровограда ,головний лікар Рибальченко Олег Миколайович,(0522) 33-20-55                                                                                                                                                                                                     33-33-50          ,"25009  м.Кіровоград, вул.Габдрахманова, 5"
Центральна міська лікарня,головний лікар Голіков Валерій Михайлович ,(0522) 24-44-66              22-94-97                                      ,"25006  м.Кіровоград, вул.Леніна, 45/35 "
,,,
,,,
,,,
Міська лікарня швидкої медичної допомоги ,головний лікар Ткач Микола Леонтійович ,"(0522) 34-12-13,            34-12-21"," 25005  м.Кіровоград, вул.Короленка, 56"
,,,
Пологовий будинок №1,головний лікар Сорокін Олексій Володимирович ,"(0522) 34-57-70,                34-57-81 ","25005  м.Кіровоград, вул.О.Журливої, 1"
,,,
,,,
Пологовий будинок №2 ім.Св.Анни,головний лікар Капко Володимир Семенович ,"(0522) 34-58-03,                 34-58-01"," 25000  м.Кіровоград, вул.Щорса, 1 "
,,,
,,,
"Медичний центр ""Добруджа""",головний лікар Чирва Валентина Ігорівна ,(0522) 55-59-20,"25030  м.Кіровоград, пр.Університетський, 6 "
,,,
Міський протитуберкульозний диспансер,головний лікар Папета Леонід Михайлович ,(0522) 23-22-38            23-01-07                                                                                                                                                                                                                 e-mail: misktub@romb.net ,"25009  м.Кірвооград, вул.Габдурахманова, 18/29 "
Дитяча міська поліклініка №1,головний лікар Макєєнко Микола Григорович,"(0522) 24-75-83,            24-64-74                      kirovohrad.iatp org.ua/policlinika, e-mail: clinika@ua.fm","25006 м.Кіровоград, вул.Шевченко, 36"
Міська поліклініка №5,головний лікар Верховський Олександр Петрович ,(0522) 55-37-27,"25028 м.Кіровоград, вул.Попова, 9 б"
Міська стоматполіклініка №1,головний лікар Колісник Микола Прокопович,(0522) 24-39-25             22-29-10,"25006 м.Кіровоград, вул.Шевченко, 36"
Міська стоматполіклініка №2,головний лікар Яровий Володимир Артемович ,(0522) 56-57-96               56-57-97,"25030  м.Кіровоград, пр.Університетський, 36 "
Міська дитяча стоматологічна поліклініка ,головний лікар Стіхарний Олег Петрович ,"(0522) 22-98-07,            24-94-84","25005 м.Кіровоград, вул.Жовтневої Революції, 31"
Станція невідкладної медичної допомоги ,головний лікар Ярошенко Олександр Іванович ,(0522) 23-72-65             23-01-08,"25009 м.Кіровоград, вул.Комарова, 36 "
Обласна лікарня ,головний лікар Шевчук Микола Тодорович ,(0522) 59-71-00            59-71-70                        т/ф 55-13-05                        e-mail: kol@shtorm.com,"25030  м.Кіровоград, пр.Університетський,2/5"
,,,
,,,
Обласна дитяча лікарня ,головний лікар Коблянський Юрій Борисович,(0522) 22-57-51 т/ф 22-57-51                    e-mail: DOL@romb.net," 25011  м.Кіровоград, вул.Преображенська, 79/35"
,,,
,,,
Обласний госпіталь інвалідів ВВв,головний лікар Сябренко Геннадій Петрович,(0522) 34-11-30        т/ф 34-11-44,"25005  м.Кіровоград вул.Короленка, 58"
,,,
,,,
Обласний кардіологічний диспансер ,головний лікар Сухомлин Ганна Миколаївна,(0522) 55-73-10       т/ф 55-73-10," 25030  м.Кіровоград, вул.Волкова, 1-а"
,,,
,,,
Обласний шкірно-венерологічний диспансер,головний лікар Курган Мар'яна Юріївна,(0522) 23-34-85,"25009  м.Кіровоград, вул.Комарова, 1"
,,,
,,,
Обласний наркологічний диспансер ,головний лікар Прокопенко Сергій Дмитрович,"(0522) 56-92-22    т/ф 56-15-17,                    e-mail: disp@host. kirovograd.ua"," 25030  м.Кіровоград, вул.Ак.Королева, 34/19 "
Обласний онкологічний диспансер ,головний лікар Яриніч Володимир Іларіонович ,(0522) 24-69-20  24-37-16," 25000 м.Кіровоград, вул.Ялтинська, 1"
,,,
Обласна психіатрична лікарня ,головний лікар Тарасенко Олександр Іванович,(0522) 31-99-10             31-99-45                      e-mail: kopb@host.kr.ua  www.kopb1.narod.ru          ," 25491  м.Кіровоград, смт.Нове, вул.Металургів, 2-а "
,,,
Обласна стоматполіклініка ,головний лікар Ляшенко Анатолій Степанович ,(0522) 24-95-74            24-95-09,"25011 м.Кіровоград, вул.Володарського, 7"
Обласний лікарсько-фізкультурний диспансер ,головний лікар Давосир Ігор Зиновійович ,(0522) 22-27-36             22-05-40,"25006 м.Кіровоград, вул.Шевченко, 42"
Обласний центр планування сім'ї та репродукції людини,головний лікар Чирва Валентина Ігорівна ,(0522) 29-85-86,"25011 м.Кіровоград, пр.Комуністичний, 18"
Обласний центр профілактики та боротьби зі СНІДом,головний лікар Кащенко Вадим Борисович ,(0522) 33-43-81,"25009  м.Кіровоград, вул.Комарова, 1"
,,,
Обласна туберкульозна лікарня ,головний лікар Олійник Петро Петрович ,"(0522) 31-41-51,           31-41-23","Кіровоградський район, с.Івано-Благодатне с.Лісова поляна "
Обласний територіальний екстреної медичної допомоги,головний лікар Мудрієвський Олексій Іванович ,(0522) 55-10-32 факс 55-30-03                     e-mail: emd@host.kr.ua,"м.Кіровоград, просп.Університетський, 2/5"
Обласна станція переливання крові ,головний лікар Кіба Сергій Іванович ,(0522) 22-56-98,"м.Кіровоград, вул.Преображенська, 88"
Обласне бюро медико-соціальної експертизи,головний лікар Бондар Володимир Павлович ,(0522) 56-74-35 факс 56-77-35                           e-mail: msek@khost.kr.ua,"м.Кіровоград, вул.Біляєва 5, корп.3"
Обласне бюро судово-медичної експертизи,головний лікар Шилан Володимир Іванович,(0522) 22-04-66,"м.Кіровоград, вул.Гоголя, 44 "
Обласне дитяче патанатомічне бюро,головний лікар Гатич Наталія Романівна,(0522) 24-38-09,"м.Кіровоград, вул.Преображенська, 79/35"
Обласний центр здоровя,головний лікар Ільченко Катерина Миколаївна,(0522) 34-61-93 34-63-03,"м.Кіровоград, вул.Академіка Корольова, 34/19 "
Будинок дитини,головний лікар Дикуша Любов Михайлівна ,(0522) 23-51-37               23-35-40 e-mail: dom rebenka@romb.net ,"м.Кіровоград, вул.Глінки, 46"
Обласний центр медичної статистики ,начальник Вереітіна Ганна Михайлівна    ,(0522) 32-30-67           e-mail:  health@health kr.ua,"м.Кіровоград, вул.Дзержинського, 74"
Кіровоградський медичний коледж ,директор Сидоренко Петро Іванович,"(0522) 24-95-55,             24-96-17","м.Кіровоград, просп.Комуністичний, 16"
Олександрійська міська лікарня №1,головний лікар Приходько Віктор Миколайович,(05235) 2-24-20," 28000 м.Олександрія, вул.Семашко, 15 "
,,,
,,,
Станція швидкої медичної допомоги,головний лікар       Янкевич А.В.,(05235) 2-10-03,"28000  м.Олександрія, вул.Свердлова, 5"
Олександрійська міська лікарня №2,головний лікар    Нестеренко В. В. ,(05235) 5-25-40 80663927144,"28000  м.Олександрія, с.Димитрово, вул.Крупської, 1"
Олександрійська міська лікарня №3,головний лікар Мозговий Юрій Сергійович,(05235) 2-88-55,"28000  м.Олександрія, вул.Артема, 4"
Олександрійська дитяча лікарня,головний лікар Стасюк Леонід Павлович,(05235) 2-12-20 ,"28000  м.Олександрія, вул.Червоного козацтва, 86"
,,,
Олександрійський протитуберкульозний диспансер,головний лікар Цюня Володимир Семенович,(05235) 2-83-38,"28000  м.Олександрія, вул.Мира, 61"
Олександрійський онкологічний диспансер ,головний лікар Хірса Володимир Петрович ,(05235) 2-11-96," 28000  м.Олександрія, вул.Міліцейська, 76"
Олександрійський шкірно-венерологічний диспансер,головний лікар Скоропад Людмила Володимирівна,(05235) 2-33-10," 28000  м.Олександрія, пл.Кірова, 27"
Олександрійська психіатрична лікарня,головний лікар Мозкова Даріко Михайлівна ,(05235) 5-12-77,"28000  м.Олександрія, вул.Дружби народів,10"
Олександрійський наркологічний диспансер,головний лікар Котляр Олексій Миколайович,(05235) 2-89-12       факс. 2-81-71,"28000  м.Олександрія, пров.Банний, 4 "
Олександрійська стоматполіклініка ,головний лікар Пиркова Тетяна Борисівна ,(05235) 2-43-60,"28000 м.Олександрія, пл.Леніна, 7"
Олександрійська амбулаторія загальної практики - сімейної медицини №1,головний лікар Поривай Рита Іванівна ,(05235) 5-73-43 5-73-03,"28000 м.Олександрія, смт.Пантаївка, вул.Леніна, 10 "
МКЛПЗ станція швидкої медичної допомоги,головний лікар Янкевич Анатолій Володимирович,(05235) 7-01-03 7-43-22,"28000 м.Олександрія, вул.Свердлова,5"
Олександрійське медичне училище,директор Піхальонок Петро Максимович ,(05235) 2-47-51,"28000 м.Олександрія, вул.Шевченка, 176"
Бобринецька центральна районна лікарня ,головний лікар Семенюк Лариса Віталіївна,(05257)                                                 тел/факс 3-28-78 e-mail: health-b@bobr.kw.uktel.net,"27200  Кіровоградська область м.Бобринець, пров.В.Порика, 6"
,,,
,,,
,,,
Вітязівська лікарська амбулаторія ЗП/СМ,головний лікар Негой Діана Петрівна,(05257) 5-11-81," 27200  Кіровоградська обл., Бобринецький р-н, с.Витязівка"
Кетрисанівська сільська лікарська амбулаторія ,головний лікар Трембовецький Анатолій Васильович,(05257) 4-35-03," 27200  Кіровоградська обл., Бобринецький р-н, с.Кетрисанівка "
Рощахівська сільська лікарська амбулаторія ,головний лікар Безпалько Микола Дмитрович,(05257) 5-23-35," 27200  Кіровоградська обл., Бобринецький р-н, с.Рощахівка "
Вільшанська центральна районна лікарня,головний лікар Дульдієр Сергій Адамович,(05250) 9-15-51," 26600  Кіровоградська обл., смт.Вільшанка, вул.Миру, 30"
,,,
,,,
,,,
Добрянська дільнична лікарня,головний лікар Василенко Леонід Миколайович,(05250) 9-43-75,"26600  Кіровоградська обл., Вільшанський р-н, с.Добрянка"
Йосипівська сільська лікарська амбулаторія ,головний лікар Павлоцький Анатолій Костянтинович ,(05250) 9-43-09,"26600  Кіровоградська обл., Вільшанський р-н, с.Йосипівка"
Гайворонська центральна районна лікарня,в.о Корнієнко олександр Іванович,(05254) 2-17-06           2-16-03,"26300  Кіровоградська обл., м.Гайворон, вул.Київська, 7"
,,,
,,,
,,,
Гайворонська міська стоматполіклініка ,головний лікар Кравець Анатолій Павлович ,(05254) 2-17-05,"26300 Кіровоградська обл., м.Гайворон, вул.Куйбишева"
Хащуватська дільнична лікарня,головний лікар Дунаєвський Валерій Григорович,(05254) 3-41-24        3-41-20,"26300  Кіровоградська обл., Гайворонський р-н, с.Хащувате"
,,,
Завалівська селищна лікарня,головний лікар Сівач Лідія Євгенівна,(05254) 7-54-75,"26300  Кіровоградська обл., Гайворонський р-н, смт.Завалля, вул.Жовтнева, 5"
